ensembl_id,log2FC,padj,comp_name
ENSG00000153310,-0.314,2.81009607957927e-06,ENSG00000153310_amide
ENSG00000213047,0.591,2.9313919086745e-06,ENSG00000213047_amide
ENSG00000067533,-0.544,3.06930871698157e-06,ENSG00000067533_amide
ENSG00000113384,-0.229,3.06965747930668e-06,ENSG00000113384_amide
ENSG00000035681,-0.413,3.08250196094932e-06,ENSG00000035681_amide
ENSG00000142149,0.551,3.21695821620751e-06,ENSG00000142149_amide
ENSG00000065308,-0.444,3.42620386010932e-06,ENSG00000065308_amide
ENSG00000149547,-0.453,3.65816617589189e-06,ENSG00000149547_amide
ENSG00000110958,0.314,3.98406845717477e-06,ENSG00000110958_amide
ENSG00000166532,0.488,4.07603266271907e-06,ENSG00000166532_amide
ENSG00000135913,-0.357,4.08807876280625e-06,ENSG00000135913_amide
ENSG00000198707,0.707,4.1567278560469e-06,ENSG00000198707_amide
ENSG00000155846,-0.594,4.34740411040635e-06,ENSG00000155846_amide
ENSG00000136854,0.474,4.39474748609263e-06,ENSG00000136854_amide
ENSG00000163739,0.446,4.40318206777701e-06,ENSG00000163739_amide
ENSG00000169604,-0.291,4.46752554719347e-06,ENSG00000169604_amide
ENSG00000272391,-0.307,4.58532646477307e-06,ENSG00000272391_amide
ENSG00000131374,-0.451,4.85176970009448e-06,ENSG00000131374_amide
ENSG00000164294,0.447,4.89399267111807e-06,ENSG00000164294_amide
ENSG00000086061,0.409,5.90583525602613e-06,ENSG00000086061_amide
ENSG00000128789,-0.477,6.40787269952737e-06,ENSG00000128789_amide
ENSG00000205133,0.88,6.40787269952737e-06,ENSG00000205133_amide
ENSG00000066044,0.403,6.48711741120926e-06,ENSG00000066044_amide
ENSG00000147459,-0.272,6.84678627813436e-06,ENSG00000147459_amide
ENSG00000170348,0.244,7.08843958411503e-06,ENSG00000170348_amide
ENSG00000129473,0.649,7.13222108160746e-06,ENSG00000129473_amide
ENSG00000163634,0.466,7.39606476710867e-06,ENSG00000163634_amide
ENSG00000198815,-0.305,7.43294548973311e-06,ENSG00000198815_amide
ENSG00000126012,0.505,7.6279508346805e-06,ENSG00000126012_amide
ENSG00000107443,0.778,7.71937450392797e-06,ENSG00000107443_amide
ENSG00000092201,0.326,7.81420970560089e-06,ENSG00000092201_amide
ENSG00000137693,0.285,7.82587500274845e-06,ENSG00000137693_amide
ENSG00000197081,0.404,8.0941341002769e-06,ENSG00000197081_amide
ENSG00000168078,0.59,8.84912390683025e-06,ENSG00000168078_amide
ENSG00000176853,-0.483,9.3279121987039e-06,ENSG00000176853_amide
ENSG00000021355,0.657,9.69968957566111e-06,ENSG00000021355_amide
ENSG00000072415,-0.427,9.92414122585702e-06,ENSG00000072415_amide
ENSG00000112996,-0.273,9.92414122585702e-06,ENSG00000112996_amide
ENSG00000153113,0.277,1.01322645438496e-05,ENSG00000153113_amide
ENSG00000165417,0.442,1.06153526123793e-05,ENSG00000165417_amide
ENSG00000172059,-0.471,1.06571781061074e-05,ENSG00000172059_amide
ENSG00000111816,-0.611,1.09424901753295e-05,ENSG00000111816_amide
ENSG00000138375,0.557,1.16651223196141e-05,ENSG00000138375_amide
ENSG00000131467,-0.296,1.17501043553264e-05,ENSG00000131467_amide
ENSG00000135052,-0.394,1.18662958090791e-05,ENSG00000135052_amide
ENSG00000196428,0.396,1.23712584921222e-05,ENSG00000196428_amide
ENSG00000197381,-0.398,1.34119142406764e-05,ENSG00000197381_amide
ENSG00000155096,-0.287,1.34201723668495e-05,ENSG00000155096_amide
ENSG00000056586,-0.275,1.36014397524359e-05,ENSG00000056586_amide
ENSG00000013588,-0.285,1.37062405837635e-05,ENSG00000013588_amide
ENSG00000170677,0.362,1.37062405837635e-05,ENSG00000170677_amide
